year,scenario,value,lower,upper
2025,pessimistic,30.88793103448188,20.151062120499176,41.624799948464585
2025,base,34.88793103448188,24.151062120499176,45.624799948464585
2025,optimistic,40.88793103448188,30.151062120499176,51.624799948464585
2026,pessimistic,34.07758620689583,22.71568730175769,45.43948511203397
2026,base,38.07758620689583,26.71568730175769,49.43948511203397
2026,optimistic,44.07758620689583,32.71568730175769,55.43948511203397
2027,pessimistic,37.26724137930978,25.224396081358883,49.31008667726068
2027,base,41.26724137930978,29.224396081358883,53.31008667726068
2027,optimistic,47.26724137930978,35.22439608135888,59.31008667726068
